Taxa	CGH1	CGH2	CGH3	CGH4	CGH5	CGH6	SLMC1	SLMC2	SLMC3	SLMC4	SLMC5	SLMC6	UST1	UST2	UST3	UST4	UST5	UST6
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	23	44	1	28	25	9	1	20	3	5	1	4	20	26	33	17	10	325
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium	5	1	0	18	5	2	3	0	0	3	0	0	5	18	15	31	2	24
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	36
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Trueperella	1	0	1	0	0	1	0	0	0	0	0	0	2	7	8	5	0	5
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Unclassified Actinomycetaceae	11	6	2	13	9	4	10	10	1	7	1	2	8	53	52	61	7	270
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Unclassified Actinomycetales;	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;Actinopolysporaceae;Actinopolyspora	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;Actinopolysporaceae;Unclassified Actinopolysporaceae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	90	19	8	1019	116	56	3	56	100	180	109	4	156	89	219	675	6	1276
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Unclassified Bifidobacteriaceae	0	0	0	1	1	1	0	1	0	0	1	0	2	2	2	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Unclassified Bifidobacteriales;	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica	0	0	0	0	0	0	0	0	0	1	0	56	1	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora	0	0	0	0	0	0	0	0	0	0	0	9	6	10	5	3	4	1
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;Unclassified Catenulisporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Unclassified Catenulisporales;	0	0	0	0	0	0	0	0	0	0	0	12	0	4	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	8	5	2	14	13	16	7	4	2	5	1	5	14	24	14	18	7	44
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Unclassified Corynebacteriaceae	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia	133	940	352	1455	567	49	2	4	16	25	19	13	7	4	64	47	12	50
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Unclassified Dietziaceae	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Family Incertae Sedis;Tomitella	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Amycolicicoccus	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	5843	284	2337	817	1138	9895	9053	1707	1228	1972	2047	3006	4313	2677	3421	1308	1156	1043
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Unclassified Mycobacteriaceae	7	0	0	8	2	9	9	0	1	2	4	3	4	4	3	2	3	9
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia	4222	268	8	3045	1377	2461	105	3736	26	40	142	1424	2308	98	515	572	333	396
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia	25	3	15	748	386	326	3	51	3	1	1	34	36	27	388	40	309	70
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus	1751	641	1441	3786	3057	2925	8	5692	5221	3083	1240	5346	563	6093	6905	33335	9954	4166
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Smaragdicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Unclassified Nocardiaceae	485	71	43	1178	495	766	5	1467	185	102	60	329	298	231	365	945	403	325
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia	0	0	0	6	0	0	0	0	2	0	0	1	3	2	4	0	9	73
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Segniliparaceae;Segniliparus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Segniliparaceae;Unclassified Segniliparaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Tsukamurellaceae;Tsukamurella	7	0	0	16	62	23	0	0	0	0	0	5	11	9	11	9	18	9
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Unclassified Corynebacteriales;	1746	185	320	968	559	1982	1093	1244	148	255	320	638	777	369	612	333	255	235
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae;Unclassified Acidothermaceae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Cryptosporangiaceae;Cryptosporangium	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Cryptosporangiaceae;Fodinicola	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia	0	1	26	2	0	7	35	1	23	6	5	47	99	16	12	3	8	2
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Unclassified Frankiaceae	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus	0	0	0	0	0	0	0	0	1	1	0	0	0	3	2	1	3	10
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	11
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Unclassified Geodermatophilaceae	0	2	2	1	0	0	16	1	0	1	1	3	17	26	7	8	45	33
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae;Humicoccus	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella	0	0	0	0	1	0	5	0	2	0	0	0	3	0	2	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae;Saxeibacter	1	0	1	0	0	0	32	5	0	0	1	2	0	3	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae;Unclassified Nakamurellaceae	4	2	11	0	0	6	174	11	3	9	3	22	130	47	14	3	10	3
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;Unclassified Sporichthyaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Unclassified Frankiales;	0	4	23	0	4	1	37	6	5	11	1	27	63	24	17	4	10	5
Bacteria;Actinobacteria;Actinobacteria;Glycomycetales;Glycomycetaceae;Unclassified Glycomycetaceae	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter	0	0	0	0	0	4	15	0	5	13	23	3	1	0	0	4	0	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus	0	0	4	0	0	0	12	0	2	1	0	3	4	10	26	4	5	3
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia	22	12	1	3	13	3	6	0	4	8	12	5	36	118	389	71	29	26
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Pseudokineococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Unclassified Kineosporiaceae	0	1	2	1	1	2	22	0	22	46	56	20	72	256	636	106	72	34
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;bacterium Ellin5024	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Unclassified Kineosporiales;	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Beutenbergiaceae;Salana	1	1	0	4	6	0	1	41	0	0	0	0	0	0	0	0	0	3
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Beutenbergiaceae;Serinibacter	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
