Taxa	CGH1	CGH2	CGH3	CGH4	CGH5	CGH6	SLMC1	SLMC2	SLMC3	SLMC4	SLMC5	SLMC6	UST1	UST2	UST3	UST4	UST5	UST6
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Blattabacteriaceae;Blattabacterium	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Blattabacteriaceae;Candidatus Brownia	1	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Blattabacteriaceae;Unclassified Blattabacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Brumimicrobium	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Crocinitomix	1	10	0	2	0	2	2	0	2	1	0	1	0	1	1	1	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Cryomorpha	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	3	3
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Fluviicola	1	6	301	0	24	8	2	0	4	7	66	0	4	3	44	7	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Lishizhenia	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;NS7 marine group	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Owenweeksia	2	2	0	0	1	0	0	0	3	5	3	0	0	1	1	4	1	1
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Unclassified Cryomorphaceae	8	42	422	2	36	24	9	0	2	21	194	2	13	21	189	14	3	3
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Wandonia	1	5	125	0	15	6	0	1	0	4	30	0	0	1	50	0	0	1
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Actibacter	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Aequorivita	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Aquimarina	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Arenibacter	0	2	0	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Bergeyella	0	9	0	0	7	1	0	0	4	2	4	1	2	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	0	10	5	0	3	2	0	0	2	9	1	0	0	1	3	5	3	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Cellulophaga	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	407	391	386	838	236	101	10	1	898	236	292	42	143	30	40	50	44	89
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Cloacibacterium	437	27	55	207	33	117	5	0	626	139	142	27	31	18	11	53	96	21
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Elizabethkingia	15	13	22	5	10	9	3	0	10	1	41	0	0	1	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Empedobacter	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Epilithonimonas	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flagellimonas	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium	854	1176	4727	1427	1806	155	82	1882	2549	2392	4234	11	294	347	837	3405	752	481
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gelidibacter	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gillisia	3	9	16	6	17	1	0	0	6	16	37	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gilvibacter	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gramella	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Leeuwenhoekiella	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Lutaonella	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Lutibacter	0	25	3	0	1	3	1	0	1	0	29	0	1	2	0	0	0	1
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Maribacter	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Mariniflexile	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Maritimimonas	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Mesonia	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Muricauda	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Myroides	8	0	14	0	1	2	0	0	1	0	3	0	0	2	3	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Ornithobacterium	1	15	18	1	6	1	0	0	6	5	11	0	0	0	6	2	0	3
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Polaribacter	1	1	1	6	0	0	0	0	4	1	4	0	0	0	0	0	1	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Psychroserpens	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	1
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Riemerella	2	0	4	6	2	2	0	0	1	2	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Sediminicola	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Soonwooa	38	73	75	1	2	14	0	0	1	0	1	0	0	0	0	0	0	1
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Stenothermobacter	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Subsaxibacter	0	0	1	6	1	0	0	0	0	2	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Tenacibaculum	0	2	4	0	3	0	0	0	1	1	5	1	0	1	0	4	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Unclassified Flavobacteriaceae	1144	919	1691	982	649	334	42	624	1537	892	1323	65	201	133	173	689	202	121
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Vitellibacter	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Wautersiella	29	6	0	5	17	10	0	0	0	0	2	1	0	0	1	0	0	3
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Weeksella	1	1	0	0	0	3	2	0	2	3	7	0	3	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Winogradskyella	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Zeaxanthinibacter	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Unclassified Flavobacteriales;	24	163	413	16	108	49	8	0	73	40	179	8	14	19	124	29	16	16
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Chitinophaga	29	100	25	20	122	27	65	0	48	42	26	11	23	62	41	29	58	61
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Ferruginibacter	1	2	61	0	2	4	7	0	31	118	27	11	7	28	12	8	0	13
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Filimonas	7	0	0	0	4	8	12	0	12	9	13	12	4	50	50	24	12	43
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavihumibacter	1	1	0	0	0	1	2	0	0	5	0	3	0	3	1	0	4	9
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavisolibacter	3	13	0	3	0	3	5	0	4	5	4	11	3	18	8	1	8	9
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Hydrotalea	2	1	0	0	1	1	7	0	30	12	11	7	5	64	86	27	15	35
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Lacibacter	0	0	0	2	0	0	0	0	0	1	5	0	0	18	0	4	2	4
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Niabella	12	10	4	4	20	6	3	0	19	89	64	5	88	6	5	1	7	7
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Niastella	0	0	3	0	0	0	1	0	0	2	2	2	1	14	1	0	2	3
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Parasegetibacter	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Sediminibacterium	0	0	0	0	0	0	0	0	8	0	0	2	0	8	8	5	3	12
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Segetibacter	1	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Terrimonas	5	1	4	0	2	1	2	0	13	35	25	2	1	23	21	8	9	5
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Unclassified Chitinophagaceae	202	93	278	57	89	111	343	2	491	1020	482	156	226	1020	901	504	268	681
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Candidatus Aquirestis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Haliscomenobacter	0	2	4	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Lewinella	2	3	5	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Saprospira	0	0	2	0	0	0	0	0	1	2	5	0	0	0	0	0	0	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Unclassified Saprospiraceae	0	4	6	1	0	0	3	0	1	3	4	4	2	2	1	1	1	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter	9	2	54	4	10	5	8	0	75	141	16	2	4	4	21	37	154	5
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Nubsella	1	4	4	5	9	0	0	0	24	4	5	1	7	2	2	0	4	3
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Olivibacter	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Parapedobacter	2	5	0	2	4	0	0	0	3	0	1	0	0	0	0	0	1	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	361	287	823	716	827	62	62	19	2226	685	468	12	38	83	125	89	319	212
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea	3	0	19	0	6	1	1	0	26	43	6	2	0	3	1	8	18	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium	611	644	175	646	201	66	0	14	432	438	288	36	7	13	24	6	5	19
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Unclassified Sphingobacteriaceae	311	376	711	360	363	72	48	21	1116	634	463	21	45	74	141	122	440	139
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Unclassified Sphingobacteriales;	8	16	51	4	8	7	9	0	59	24	35	2	2	6	34	19	1	8
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;WCHB1-69;Unclassified WCHB1-69	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;WCHB1-69;bacterium sp. OF1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Unclassified Bacteroidetes;;;	227	1035	1780	296	430	179	130	29	1159	1019	1061	92	43	314	494	311	391	194
Bacteria;Candidate division TM7;Unclassified Candidate division TM7;;;	15	21	2	58	19	21	22	2	121	68	117	9	93	128	165	94	29	188
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydophila	7	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Unclassified Chlamydiaceae	5	0	0	0	1	3	0	0	6	0	2	0	0	0	0	1	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Family Incertae Sedis;Criblamydia	0	1	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Family Incertae Sedis;Unclassified Family Incertae Sedis	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus Metachlamydia	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus Protochlamydia	21	22	0	3	2	26	21	1	5	2	4	2	1	3	8	4	11	5
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia	10	4	0	0	0	8	4	0	2	0	0	1	1	6	2	1	6	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Parachlamydia	19	8	0	0	1	15	12	2	2	1	1	1	1	2	2	0	3	4
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Unclassified Parachlamydiaceae	60	30	5	3	7	40	31	1	5	2	8	3	7	14	17	15	26	9
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Candidatus Fritschea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Candidatus Rhabdochlamydia	1	3	0	1	0	2	0	1	2	3	5	1	0	2	1	4	7	1
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Simkania	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Unclassified Simkaniaceae	0	1	0	0	0	0	1	0	0	1	3	0	0	2	2	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Unclassified Chlamydiales;	91	26	6	2	6	43	17	0	7	4	21	5	1	7	19	15	20	19
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Waddliaceae;Unclassified Waddliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Waddliaceae;Waddlia	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;cvE6;Chlamydiales	1	2	0	0	0	0	0	1	0	0	2	2	0	3	1	2	4	2
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;cvE6;Unclassified cvE6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Prosthecochloris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Unclassified Chlorobiaceae	0	0	0	0	1	0	2	0	5	1	1	0	0	1	1	3	2	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;OPB56;Chlorobi	0	0	1	1	0	1	0	0	22	0	0	0	0	4	1	1	0	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;OPB56;Unclassified OPB56	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Unclassified Chlorobiales;	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0
Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium	1	0	1	0	0	0	1	0	2	5	0	0	0	1	0	0	1	0
Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Unclassified Ignavibacteriaceae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;IheB3-7;Melioribacter	1	3	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0
Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;IheB3-7;Unclassified IheB3-7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chlorobi;Unclassified Chlorobi;;;	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	0	1
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	2	3	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Bellilinea	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	6
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea	1	1	0	4	0	0	1	0	3	1	0	1	0	1	0	0	1	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Longilinea	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	1	0	2
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Unclassified Anaerolineaceae	6	27	2	70	5	1	11	3	5	46	10	1	3	19	14	4	23	46
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Unclassified Anaerolineales;	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea	4	2	3	6	1	4	7	6	0	4	2	1	2	7	1	0	0	2
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Unclassified Caldilineaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae;Chloroflexus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae;Chloronema	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae;Roseiflexus	1	1	0	0	0	0	0	0	0	0	1	0	0	11	2	1	12	0
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae;Unclassified Chloroflexaceae	1	0	1	1	1	0	2	12	0	1	3	0	0	2	2	1	11	4
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Oscillochloridaceae;Oscillochloris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Unclassified Chloroflexales;	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	4	3
Bacteria;Chloroflexi;Chloroflexi;Herpetosiphonales;Herpetosiphonaceae;Herpetosiphon	0	0	1	0	2	0	2	0	0	0	1	0	2	0	0	0	0	0
Bacteria;Chloroflexi;Chloroflexi;Herpetosiphonales;Herpetosiphonaceae;Unclassified Herpetosiphonaceae	2	4	1	2	1	0	0	0	0	0	0	2	0	0	0	0	0	1
Bacteria;Chloroflexi;Chloroflexi;Herpetosiphonales;Unclassified Herpetosiphonales;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Chloroflexi;Chloroflexi;Unclassified Chloroflexi;;	2	0	1	1	0	0	4	2	1	1	1	0	0	1	0	0	3	2
Bacteria;Chloroflexi;Class Incertae Sedis;Order Incertae Sedis;Family Incertae Sedis;Thermobaculum	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1
Bacteria;Chloroflexi;Dehalococcoidetes;Order Incertae Sedis;Family Incertae Sedis;Dehalogenimonas	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Dehalococcoidetes;Order Incertae Sedis;Family Incertae Sedis;Unclassified Family Incertae Sedis	0	0	0	0	0	0	0	0	7	1	0	1	0	1	0	2	0	1
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter	6	5	9	1	4	4	1	0	0	0	4	1	0	0	0	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Unclassified Ktedonobacteraceae	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Thermosporotrichaceae;Thermosporothrix	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Thermosporotrichaceae;Unclassified Thermosporotrichaceae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Unclassified Ktedonobacteria;;	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Chloroflexi;Thermomicrobia;JG30-KF-CM45;bacterium Ellin6537;Unclassified bacterium Ellin6537	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter	17	18	20	11	12	14	16	14	5	11	10	2	2	1	3	5	11	5
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Unclassified Sphaerobacteraceae	14	8	12	3	6	2	5	16	0	2	1	1	0	0	1	0	0	0
Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
Bacteria;Chloroflexi;Thermomicrobia;Unclassified Thermomicrobia;;	38	13	31	14	21	20	37	156	22	20	22	8	7	3	6	4	10	8
Bacteria;Chloroflexi;Unclassified Chloroflexi;;;	48	18	36	21	15	15	25	119	9	35	23	2	6	13	13	10	14	19
Bacteria;Cyanobacteria;Cyanobacteria;SubgroupI;FamilyI;Chroogloeocystis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubgroupI;FamilyI;Unclassified FamilyI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Cyanothece	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Pleurocapsa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Synechococcus	0	2	0	0	0	9	2	0	4	0	1	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Synechocystis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Unclassified FamilyI	2	0	0	0	0	0	0	2	2	1	1	2	0	2	0	0	8	2
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;Unclassified SubsectionI;	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionII;FamilyII;Chroococcidiopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	24	9
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionII;FamilyII;Pleurocapsa	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
