GENE	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
ant(2'')-Ia_12_HQ880250	1	10	9	1	0	0	1	2	7	1	0	1	0	0	3	0	2	5
ant(2'')-Ia_13_DQ176450	1	2	7	0	1	4	1	1	1	0	1	1	1	0	1	1	0	4
ant(2'')-Ia_14_DQ266447	0	4	5	2	0	2	0	3	8	0	1	1	1	2	7	0	1	8
ant(2'')-Ia_15_EF205594	0	10	6	0	1	1	0	1	20	0	0	2	2	0	4	0	3	4
ant(2'')-Ia_16_HQ386848	0	7	5	0	1	2	0	1	2	1	0	0	2	0	1	0	0	4
ant(2'')-Ia_17_JTTZ01000034	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	3	0
ant(2'')-Ia_19_GQ466184	1	0	2	0	0	1	0	1	0	0	0	2	0	0	3	0	0	1
ant(2'')-Ia_20_AY139599	0	1	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6
ant(2'')-Ia_1_X04555	0	13	17	1	1	4	2	6	8	0	0	3	7	2	8	0	1	8
aph(3')-VI_1_KC170992	0	42	79	0	0	0	0	4	4	0	1	0	0	2	2	0	14	117
aph(3')-XV_2_GQ626879	0	5	0	0	0	0	0	3	2	0	0	0	0	1	0	5	0	4
aph(3')-XV_3_EU165039	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3
aph(3')-IIIa_1_AF330699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
aph(3')-IIIa_2_AJ490186	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	2	4
aph(3')-IIIa_3_AB247327	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6
aph(3')-Va_2_AB211959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-Vb_2_AJ744850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-IIa_2_V00618	1	10	3	2	4	3	0	7	6	0	1	3	2	4	6	3	1	7
aph(3')-IIb_2_CP006832	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
aph(3')-Ia_2_EU287476	0	1	4	0	0	0	0	2	2	0	0	0	0	1	1	0	0	1
aph(3')-Ia_3_EF015636	0	0	3	0	0	0	0	0	3	0	0	0	0	2	0	0	0	2
aph(3')-Ia_4_AF498082	0	14	19	1	0	1	0	2	11	0	0	0	0	9	0	0	1	14
aph(3')-Ia_5_AP004237	0	6	12	0	0	0	0	2	14	0	0	0	0	5	2	0	0	11
aph(3')-Ia_6_L05392	0	7	17	0	0	0	1	6	15	1	0	0	1	6	0	0	1	7
aph(3')-Ia_7_X62115	0	51	101	0	0	5	0	13	112	3	1	3	6	65	6	0	2	73
aph(3')-Ia_8_Y00452	0	41	73	1	0	3	0	4	68	3	0	0	4	49	2	1	1	53
aph(3')-Ia_9_EU722351	0	6	11	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0
aph(3')-Ia_10_EU855787	0	10	14	1	0	1	0	1	17	0	0	0	0	9	1	0	0	13
aph(2'')-Ih_1_KF652096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(2'')-Ig_1_CP004067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(2'')-If_1_KF652097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(2'')-If_2_AY701528	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
aph(2'')-Ia_2_AP009486	1	0	1	16	7	0	0	1	2	0	0	0	0	1	5	0	3	7
aph(2'')-Ia_3_AJ536195	0	0	0	10	3	1	0	1	3	0	3	0	2	2	2	0	1	3
