clade_name	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Sheuella|s__Sheuella_amnicola|t__SGB57626	0.00344	0.0	0.0	0.0	0.05808	0.00367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02157	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Sulfurospirillaceae|g__Sulfurospirillum|s__Sulfurospirillum_sp_UCH001|t__SGB28555	0.00341	0.0	0.0	0.03286	0.0	0.04063	0.0	0.0	0.0	0.0	0.0	0.00318	0.0	0.00133	0.0	0.0	0.02181	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__Brucella|s__Brucella_intermedia|t__SGB11010	0.00329	0.02007	0.04267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01848	0.0	0.0
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__GGB13147|s__GGB13147_SGB19694|t__SGB19694	0.00327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01877	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_mizutaii|t__SGB3140	0.00327	0.39313	1.21205	0.00827	0.0	0.32564	0.0	0.00332	0.33467	0.01618	0.0	0.91335	0.0	0.51251	0.00845	0.0	0.02321	0.28534
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_callanderi|t__SGB4080	0.00305	0.0	0.02223	0.0	0.0	0.03496	0.0	0.0	0.00574	0.0	0.0	0.02963	0.0	0.00293	0.0	0.0	0.00365	0.02366
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_sp_YC_RL4|t__SGB15714	0.00302	0.09498	0.00158	0.01651	0.0	0.04589	0.04228	0.13407	0.09142	0.00593	0.02824	0.08447	0.09152	0.05371	0.0	0.0188	0.50338	0.00572
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_terrae|t__SGB11567	0.003	0.30094	0.5452	0.0	0.11365	0.0343	0.03648	0.01977	0.39605	0.04025	0.11029	0.02328	0.17353	0.13681	0.11308	0.0	0.00857	0.22751
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Prescottella|s__Prescottella_equi|t__SGB110864	0.00291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter|s__Turicibacter_bilis|t__SGB6847	0.00285	0.00361	0.01491	0.0086	0.0	0.0	0.0	0.01844	0.00794	0.01201	0.0256	0.0	0.0	0.01415	0.0	0.05364	0.0	0.00735
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter|s__Leucobacter_komagatae|t__SGB87747	0.00283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Xanthobacteraceae|g__Azorhizobium|s__Azorhizobium_caulinodans|t__SGB11432	0.00265	0.00929	0.01661	0.0	0.0	0.00029	0.00053	0.0	0.0	0.0	0.0066	0.0	0.00206	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_sinensis|t__SGB14810	0.00258	0.0	0.0	0.00018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0185	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__Pseudochrobactrum|s__Pseudochrobactrum_algeriensis|t__SGB32241	0.00258	0.07533	0.59984	0.0	0.02165	0.24484	0.0	0.0	0.0	0.0	0.0	0.01718	0.0	0.0	0.00466	0.0	0.0131	0.05284
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_sp_F64268|t__SGB86950	0.00255	0.01943	0.02549	0.00102	0.0	0.0	0.0	0.01211	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34631
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Oligella|s__Oligella_ureolytica|t__SGB22909	0.00247	0.00035	0.0	0.0	0.0	0.024	0.0	0.0	0.00159	0.0	0.0	0.01964	0.0	0.00607	0.03235	0.0	0.00997	0.00702
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_capsici|t__SGB7494	0.0024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lutetiensis|t__SGB8021	0.00231	0.07647	0.0	0.0	0.06194	0.14262	0.0	0.00214	0.02693	0.0	0.0	0.04885	0.0	0.0	0.00859	0.0	0.07793	0.12
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_vietnamiensis|t__SGB12996	0.00225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__CFGB42124|o__OFGB42124|f__FGB42124|g__GGB27044|s__GGB27044_SGB39251|t__SGB39251	0.00221	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.00195	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Roseomonas|s__Roseomonas_sp_HJA6|t__SGB111423	0.00214	0.0	0.0	0.0	0.0	0.00137	0.0	0.0	0.00081	0.00185	0.03251	0.0	0.00166	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_guodeyinii|t__SGB74488	0.00208	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_solventivorans|t__SGB10725	0.00201	0.04985	0.47653	0.0	0.0	0.19705	0.00251	0.01499	0.02762	0.0	0.0	0.00807	0.0	0.0	0.0	0.0	0.0	0.06789
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia|s__Gordonia_hirsuta|t__SGB15779	0.00196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Sporomusaceae|g__Anaeroarcus|s__Anaeroarcus_burkinensis|t__SGB30394	0.00178	0.0	0.0	0.0	0.0	0.10054	0.00553	0.0097	0.0	0.0	0.0	0.00485	0.0	0.0	0.0	0.0	0.00021	0.0
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670|f__FGB1670|g__GGB47687|s__GGB47687_SGB2286|t__SGB2286	0.00164	0.00973	0.01413	0.05172	0.0	0.09512	0.0	0.0	0.04982	0.0	0.0	0.0427	0.0	0.02438	0.00155	0.0	0.03621	0.06172
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_algeriense|t__SGB34915	0.00161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0507	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Alcaligenaceae_unclassified|s__Alcaligenaceae_bacterium|t__SGB88686	0.0016	0.0	0.16195	0.0	0.0	0.00435	0.0	0.0	0.04266	0.0	0.0	0.0	0.0	0.00863	0.0	0.0	0.0	0.00928
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_fortuitum|t__SGB15733	0.00155	0.12223	0.15985	0.07297	2.27511	0.03299	0.46331	0.74755	0.46637	0.19211	0.44854	0.01338	0.70474	0.00248	0.29846	0.0429	0.11023	0.09167
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Senegalimassilia|s__Senegalimassilia_anaerobia|t__SGB14824_group	0.00143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00707	0.00576	0.0	0.0	0.0	0.0	0.0	0.03499
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae|t__SGB4837	0.00122	0.0	0.00106	0.08902	0.00739	0.00623	0.0	0.01407	0.0086	0.0	0.39581	0.0	0.0172	0.0	0.00707	0.0	0.0	0.12207
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_sp_P7213|t__SGB33867	0.0012	0.05564	0.0	0.0	0.0	0.0051	0.00603	0.56904	0.00072	0.0	0.0	0.05966	0.0	0.0	0.0	0.01631	0.0	0.00527
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Macellibacteroides|s__Macellibacteroides_fermentans|t__SGB1927	0.00111	0.10548	0.12501	0.01592	0.00419	0.94227	0.06284	0.2525	0.18885	0.0	0.00411	0.58406	0.0164	0.84142	0.00491	0.00544	0.08657	0.16607
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__SGB2295	0.00108	0.00033	0.0	0.00119	0.0	0.01767	0.0	0.0005	0.01478	0.0	0.0	0.02443	0.0	0.00457	0.0	0.0	0.0	0.01581
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia|s__Gordonia_sp_OPL2|t__SGB86964	0.00102	0.0	0.0	0.16332	1.904	0.00041	0.19313	0.0	0.003	0.03889	0.01839	0.0	0.18898	0.0	0.03008	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_insolitus|t__SGB13134	0.00101	0.0	0.0	0.00158	0.0	0.18452	0.0	0.0	0.0	0.32909	0.0	0.0	0.05195	0.0	0.0232	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_sp_SMC_8|t__SGB110819	0.00097	0.01265	0.0	0.01314	0.0	0.0	0.0	0.00167	0.01634	0.06762	0.0	0.01077	0.09346	0.0	0.00779	0.0	0.0	0.00078
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_paraoxydans|t__SGB16869	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00213	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_novocastrense|t__SGB15695	0.00087	0.0	0.0	0.0	0.02576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_oxydans|t__SGB16871	0.00081	0.0	0.0	0.0	0.0	0.0	0.0	0.07013	0.16448	0.0	0.0	0.0	0.0	0.15596	0.0	0.0	0.0	0.02706
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Agromyces|s__Agromyces_soli|t__SGB111270	0.00079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacter|s__Mycolicibacter_sp_MYC340|t__SGB110827	0.00076	0.00356	0.0	0.0	0.0	0.00767	0.00329	0.00469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0157	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Nocardia|s__Nocardia_higoensis|t__SGB93258	0.00076	0.01009	0.0	0.0	0.0	0.0	0.00264	0.54822	1.07966	0.30108	0.0	0.0	0.02855	0.035	0.03781	0.0	0.0	1.11499
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis|t__SGB4925	0.00075	0.00253	0.00457	0.01604	0.0	0.01558	0.0	0.01065	0.00787	0.0	0.0594	0.0	0.0136	0.0	0.0	0.0	0.0	0.10312
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter|s__Leucobacter_viscericola|t__SGB87738	0.00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3345|s__GGB3345_SGB4425|t__SGB4425_group	0.0007	0.00311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02011	0.0	0.0	0.0	0.0	0.00229	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_limosum|t__SGB4079	0.00069	0.0	0.00142	0.0	0.0	0.03476	0.0	0.0	0.0032	0.0	0.0	0.01476	0.0	0.0	0.00302	0.0	0.0	0.00829
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_novum|t__SGB15746	0.00065	0.05424	0.0	0.0	0.0	0.00474	0.0	0.08586	0.00076	0.0	0.0	0.00687	0.0	0.0	0.0	0.02916	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Paraeggerthella|s__Paraeggerthella_hongkongensis|t__SGB33559	0.00064	0.0	0.00201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.00219
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_echinofusca|t__SGB16465	0.00049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_paurosaccharolyticus|t__SGB27748	0.00048	0.0	0.00055	0.00269	0.0	0.06171	0.00045	0.0	0.01887	0.0	0.0	0.02046	0.0	0.03374	0.0	0.0	0.00112	0.00366
k__Bacteria|p__Proteobacteria|c__CFGB8587|o__OFGB8587|f__FGB8587|g__GGB6593|s__GGB6593_SGB9323|t__SGB9323	0.00048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans|t__SGB15463	0.00044	0.0	0.00535	0.0	0.0	0.00872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00404	0.0	0.0	0.0	0.01287
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae|g__Aquamicrobium|s__Aquamicrobium_defluvii|t__SGB32233	0.00042	0.03444	1.63348	0.0	0.0	0.46233	0.0	0.0	0.24237	0.0	0.03755	0.05582	0.0209	0.01178	0.0043	0.0	0.0069	0.38657
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_ruber|t__SGB15836	0.0004	0.0066	0.01568	0.2645	1.96616	0.14422	0.06954	0.68253	0.3116	0.55061	0.38261	0.01143	0.21993	0.0	0.4984	0.0	0.0	0.03287
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia|s__Gordonia_sp_PP30|t__SGB110851	0.00038	0.02763	0.0	0.0	0.0	0.0	0.0	0.00521	0.1474	0.00104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09979
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bromii|t__SGB4290	0.00037	0.0	0.0	0.12264	0.0	0.0062	0.0	0.01741	0.0032	0.0	0.03042	0.00326	0.13095	0.0	0.01787	0.01134	0.00669	0.03775
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_gordoniae|t__SGB23558	0.00033	0.01536	0.00215	0.05294	0.0	0.0	0.0	0.29788	0.17337	0.04229	0.0	0.0	0.05126	0.0	0.46282	0.0	0.0	0.32019
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp_UIB00|t__SGB110692	0.00025	0.0	0.00019	0.0	0.0	0.00228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00108	0.0	0.0	0.0	0.00091
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_diminuta|t__SGB31770	0.00024	0.07355	0.32734	0.0	0.12872	0.00106	0.0	0.00819	0.02038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02647
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Cloacibacterium|s__Cloacibacterium_caeni|t__SGB2534	0.00016	4.85533	0.36436	0.73945	2.74323	1.77013	0.30816	1.17536	0.65129	1.29145	1.00814	1.95346	0.28054	0.7749	0.23972	0.18372	4.04359	2.25261
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_coprocola|t__SGB1891	9e-05	0.0	0.0	0.0	0.0	0.00096	0.0	0.00157	0.02537	0.0	0.0	0.01416	0.0	0.0	0.0	0.0	0.0042	0.02849
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter|s__Leucobacter_chromiireducens|t__SGB93145	7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi	0.0	0.03978	0.06985	0.0	0.0	0.00741	0.0	0.01049	0.0377	0.0	0.04016	0.03834	0.0	0.06337	0.0	0.00068	0.0	0.06265
k__Bacteria|p__Candidatus_Melainabacteria	0.0	0.00497	0.0	0.0	0.0	0.01156	0.0	0.0	0.00062	0.0	0.0	0.0	0.0	0.00246	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Omnitrophica	0.0	0.0039	0.0	0.0	0.0	0.01802	0.01178	0.00491	0.0	0.0	0.0	0.05155	0.0	0.00943	0.0	0.00227	0.02345	0.0006
k__Bacteria|p__Planctomycetota	0.0	0.00012	0.03521	0.0	0.0	0.88338	0.0	0.00103	0.00105	0.00568	0.03648	0.01248	0.01293	0.2511	0.0	0.0	0.00054	0.0
k__Bacteria|p__Proteobacteria|c__Oligoflexia	0.0	0.21192	0.31048	0.0	2.10361	2.669	0.48776	0.61623	8.86952	1.78429	0.31274	2.07301	0.00249	0.0	0.71682	0.65947	0.00739	2.05189
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	0.0	0.15449	0.39836	0.0	0.0	0.18052	0.00174	0.04133	0.36944	0.00112	0.0	0.4217	0.0	0.26344	0.00855	0.00282	0.00906	1.36031
k__Bacteria|p__Bacteroidota|c__Chitinophagia	0.0	0.0569	0.0	1.19541	0.8025	0.01596	0.18287	0.03216	0.00108	1.9433	5.91223	0.1872	3.27188	0.00255	2.5432	0.96782	0.42083	0.0
k__Bacteria|p__Chloroflexi|c__CFGB10797	0.0	0.03917	0.06738	0.0	0.0	0.00054	0.0	0.01049	0.03695	0.0	0.0	0.01175	0.0	0.0575	0.0	0.00068	0.0	0.03958
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.0	0.01124	0.0	0.0	0.0	0.00024	0.0	0.00021	0.02439	0.0	0.0	0.00239	0.0	0.0	0.01635	0.0	0.0	0.08692
k__Bacteria|p__Verrucomicrobia|c__Opitutae	0.0	0.00649	0.00104	0.0	0.0	0.03783	0.0	0.0	0.00404	0.0	0.0	0.00665	0.00022	0.00981	0.0	0.0	0.03775	0.00496
k__Bacteria|p__Verrucomicrobia|c__Terrimicrobia	0.0	0.00522	0.00155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	0.0	0.00497	0.0	0.0	0.0	0.01156	0.0	0.0	0.00062	0.0	0.0	0.0	0.0	0.00246	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1776	0.0	0.00421	0.0	0.0	0.0	0.01428	0.0	0.00592	0.01188	0.01189	0.0	0.05009	0.03841	0.01877	0.0	0.0	0.0	0.02359
k__Bacteria|p__Proteobacteria|c__CFGB8705	0.0	0.00414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12378	0.0	0.0	0.00788	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Omnitrophica|c__CFGB8440	0.0	0.0039	0.0	0.0	0.0	0.01802	0.01178	0.00491	0.0	0.0	0.0	0.05155	0.0	0.00943	0.0	0.00227	0.02207	0.0006
k__Bacteria|p__Proteobacteria|c__CFGB14846	0.0	0.00134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01925	0.0	0.0	0.0	0.0	0.0074	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Anaerolineae	0.0	0.00062	0.00247	0.0	0.0	0.00687	0.0	0.0	0.00074	0.0	0.0	0.02659	0.0	0.00151	0.0	0.0	0.0	0.02307
k__Bacteria|p__Bacteroidota|c__CFGB7713	0.0	0.00056	0.00018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Planctomycetota|c__Planctomycetia	0.0	0.00012	0.004	0.0	0.0	0.0	0.0	0.00103	0.00105	0.00568	0.03648	0.0	0.01293	0.02446	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	0.0	8.58349	2.86363	0.19037	0.4024	0.25955	0.02585	0.2025	2.11779	0.6604	1.83232	0.28885	0.55119	0.24374	1.14181	0.24444	0.17723	1.39135
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	0.0	5.77694	4.9711	1.96404	3.62894	0.18018	0.13515	0.50816	0.83508	0.12288	5.32681	0.6435	3.5381	0.25329	1.36536	1.0612	2.28677	4.81758
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	0.0	0.66998	0.48762	0.2107	0.00957	0.5037	0.02514	0.04487	1.1359	0.17427	4.21984	2.5232	3.77009	0.88454	0.07935	0.22981	0.89383	0.48643
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Micropepsales	0.0	0.21407	0.03329	0.19835	0.18931	0.02785	0.0743	0.02906	0.06961	0.24034	0.67112	0.16011	0.33031	0.0	0.14019	0.15649	0.08112	0.00107
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	0.0	0.20972	0.31048	0.0	1.96956	0.29212	0.45526	0.2497	0.0	0.0	0.31274	0.00136	0.00249	0.0	0.24362	0.10822	0.00355	0.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales	0.0	0.1539	0.38206	0.0	0.0	0.11359	0.00066	0.04133	0.30242	0.00112	0.0	0.39625	0.0	0.2631	0.00855	0.00282	0.00659	1.23515
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	0.0	0.14962	0.15842	0.04997	0.01254	0.53755	0.17628	0.10315	0.20604	0.03448	1.1984	0.41205	0.06179	0.18853	0.08159	0.04629	0.68886	0.48092
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria_unclassified	0.0	0.11578	0.44277	0.0	0.0	0.0	0.00323	0.0172	0.173	0.01055	0.0	0.0	0.0	0.0	0.00091	0.0	0.07906	0.00102
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.0	0.09969	0.00993	0.04689	0.00246	0.03598	0.0	0.04171	0.01892	0.00222	0.01276	0.01523	0.00027	0.07415	0.01011	0.0	0.01075	0.29187
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales	0.0	0.0569	0.0	1.19541	0.8025	0.01596	0.18287	0.03216	0.00108	1.9433	5.91223	0.1872	3.27188	0.00255	2.5432	0.96782	0.42083	0.0
k__Bacteria|p__Chloroflexi|c__CFGB10797|o__OFGB10797	0.0	0.03917	0.06738	0.0	0.0	0.00054	0.0	0.01049	0.03695	0.0	0.0	0.01175	0.0	0.0575	0.0	0.00068	0.0	0.03958
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.0	0.0385	0.24471	0.81676	0.98114	0.22755	0.0	0.02868	1.8625	23.71394	2.58332	0.16241	0.7712	0.84759	12.85278	0.0	0.20206	0.34735
