clade_name	CGH1	CGH2	CGH3	CGH4	CGH5	CGH6	SLMC1	SLMC2	SLMC3	SLMC4	SLMC5	SLMC6	UST1	UST2	UST3	UST4	UST5	UST6
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	5747.0	3109.0	134114.0	32973.0	24362.0	30733.0	4407.0	1099.0	583868.0	21123.0	35271.0	9621.0	9682.0	6219.0	20145.0	378242.0	47086.0	0.0
k__Bacteria|p__Chloroflexi|c__CFGB10797	10547.0	16671.0	12051.0	13399.0	7344.0	2818.0	85.0	0.0	0.0	2926.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB343	3591.0	0.0	16334.0	11755.0	6963.0	3848.0	969.0	9908.0	5504.0	4604.0	20702.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	5796.0	865.0	1422132.0	12420.0	4513.0	1944.0	0.0	8490.0	10771.0	2892.0	9382.0	0.0	0.0	936.0	12665.0	5685.0	31845.0	10546.0
k__Bacteria|p__Synergistetes|c__CFGB7945	4239.0	17398.0	6943.0	36243.0	12208.0	2561.0	0.0	1661.0	1043.0	82148.0	160879.0	6289.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB658	3949.0	830.0	1389.0	40641.0	23640.0	5673.0	0.0	4149.0	5938.0	14834.0	4003.0	0.0	0.0	0.0	0.0	0.0	6524.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	1325.0	0.0	0.0	13412.0	2121.0	24.0	0.0	0.0	0.0	259.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	1905.0
k__Bacteria|p__Bacteroidota|c__CFGB1670	1670.0	2230.0	3259.0	13330.0	6316.0	0.0	0.0	526.0	11755.0	6782.0	14586.0	0.0	0.0	0.0	0.0	7120.0	0.0	262.0
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1343.0	148.0	1920.0	1569.0	750.0	0.0	0.0	0.0	17938.0	1547.0	8479.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Terrimicrobia	1723.0	470.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	993.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	792.0	0.0	305.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	1645.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1776	435.0	0.0	1513.0	3071.0	908.0	611.0	0.0	0.0	0.0	4795.0	1319.0	0.0	0.0	0.0	2587.0	0.0	945.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB8705	804.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1518.0
k__Bacteria|p__Candidatus_Omnitrophica|c__CFGB8440	512.0	0.0	965.0	99.0	0.0	644.0	139.0	0.0	5485.0	6271.0	2115.0	1310.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB14846	340.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3758.0	1861.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	164.0	7535.0	558806.0	184631.0	176878.0	3197.0	0.0	5299.0	0.0	4364.0	736342.0	0.0	0.0	3006.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Anaerolineae	158.0	583.0	302.0	7453.0	141.0	0.0	0.0	0.0	0.0	6318.0	1576.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB7713	124.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Planctomycetota|c__Planctomycetia	63.0	1690.0	10400.0	0.0	429.0	554.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5342.0	4132.0	0.0	2120.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	11174426.0	1298535.0	4999183.0	8582520.0	6860546.0	19628211.0	10744142.0	9544866.0	9687244.0	7869598.0	5014742.0	12983393.0	5831289.0	5613686.0	9115421.0	18801908.0	7296846.0	3848956.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	6126102.0	4784489.0	3729134.0	6132084.0	4024034.0	8063182.0	1027878.0	9572719.0	23879444.0	9981343.0	9558058.0	11571025.0	1177905.0	269381.0	310405.0	1576804.0	3557762.0	8179356.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2635293.0	967295.0	67757.0	550438.0	470546.0	56389.0	31751.0	0.0	101566.0	83753.0	71396.0	6200.0	31935.0	158574.0	104713.0	42941.0	141962.0	281274.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	1610821.0	793126.0	1954039.0	1959021.0	797736.0	404743.0	23573.0	4084968.0	2982912.0	782625.0	955494.0	127589.0	453397.0	105877.0	532960.0	415263.0	531002.0	326036.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1359019.0	1058214.0	42461.0	1288471.0	130407.0	119684.0	105627.0	0.0	873353.0	119985.0	30077.0	22924.0	234499.0	324032.0	506384.0	323335.0	20303.0	296720.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1431407.0	4854722.0	2879136.0	3608661.0	3439556.0	816732.0	101350.0	3721179.0	5410980.0	2693541.0	2826378.0	335748.0	467641.0	908089.0	5678048.0	2187218.0	2963045.0	3064716.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1295991.0	2665283.0	68539.0	291464.0	199385.0	343507.0	39418.0	885.0	113210.0	95031.0	183720.0	13510.0	91976.0	103699.0	75160.0	122815.0	154940.0	1134541.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	886939.0	2964456.0	6103618.0	1908591.0	1656238.0	648794.0	96495.0	8771158.0	831274.0	725121.0	862079.0	543983.0	333190.0	942430.0	1779477.0	942329.0	2457750.0	2072068.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	391826.0	1163468.0	137633.0	3610801.0	318408.0	78287.0	10815.0	393663.0	50691.0	130156.0	217972.0	41422.0	20985.0	425.0	21743.0	0.0	66559.0	100529.0
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	476162.0	927862.0	160950.0	687433.0	213219.0	44266.0	92.0	4791.0	78990.0	409231.0	192295.0	1075.0	11352.0	0.0	15345.0	14380.0	75125.0	34872.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	338649.0	2658523.0	632572.0	282525.0	252036.0	138039.0	53121.0	70292.0	114688.0	584742.0	483399.0	167157.0	127145.0	203645.0	151781.0	175222.0	215254.0	254416.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	133521.0	80325.0	134805.0	110974.0	156252.0	8672.0	24067.0	0.0	400077.0	420549.0	105274.0	6220.0	874.0	283438.0	519335.0	35328.0	29302.0	19917.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	115368.0	115001.0	106597.0	645196.0	666436.0	335721.0	1648820.0	20344760.0	714237.0	606548.0	240453.0	254628.0	32669.0	9837.0	134503.0	222909.0	34578.0	373781.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	104295.0	776559.0	488378.0	1938236.0	863873.0	187202.0	8153.0	219711.0	854300.0	1243572.0	1119086.0	22959.0	2138.0	42213.0	321581.0	277593.0	93519.0	50128.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	38666.0	12509.0	9434.0	55752.0	32797.0	17952.0	11935.0	15280.0	8849.0	30001.0	64767.0	11918.0	0.0	638.0	9873.0	0.0	5921.0	7053.0
